userName,content,score,at
saedispd 1990,Mudah di gunakan...,5,2022-07-08 04:52:37
Ike Lak Man,"Mudah dalam bertransaksi, tapi biaya admin sedikit mahal",5,2022-07-08 04:27:44
Jun Junaidi,Memudahkan untuk transfer terima kasih bank kalteng,5,2022-07-08 01:25:30
Ekat Wangun,Sangat bagus,5,2022-07-08 01:05:54
Remi,Mantap,3,2022-07-08 00:20:46
ikamz wijayanti,Kereeeeennnnn,5,2022-07-08 00:07:50
Oppo Batur,terlalu sulit bg kami lansia utk buka,1,2022-07-05 07:50:29
ARKANI,good,5,2022-06-23 13:19:50
Andreas eldi Putra,Kenapa g bisa daftar mbangkin lewat hp,2,2022-06-22 22:49:20
Izar Sariyanto,Mudahan bisa SMS banking,4,2022-06-09 21:51:37
Erik Saputra,"Udah sering gunain ini apl untuk Tf dll, dan sekarang Permintaan aplikasi suruh registrasi, saya udah registrasi ulang tapi kenapa udah 3 bulan kode OTP nya belum di kirim?",5,2022-06-06 13:34:26
nanda dia,"Admin kalo bisa secepatnya diperbaiki Apk gak bisa dibuka, katanya gangguan koneksi",1,2022-06-04 15:06:31
Amika Pky01,"Daftar ngga bisa rekening salah, padahal sudah benar no rekening nya.. kenapa??",3,2022-06-03 06:11:55
Suriansyah Vivo,Mantap semua serba mudah sekarang..,5,2022-06-01 06:39:01
pahnur 11,Cukup membantu,5,2022-05-30 10:03:19
Irfan J. Saputra,Setelah update Fitur sidik jari gak bisa di akses,2,2022-05-24 16:47:49
Noorhidayah Noorhidayah,👍👍👍👍👍,5,2022-05-21 23:22:36
Fajar Taufiq,Sangat bermanfaat,5,2022-05-21 13:10:46
Sunardi Kamipang,Aplkasinya tidak bisa dibuka,5,2022-05-20 07:31:54
BINAWAN,Transaksi lebih mudah dgn adanya aplikasi ini...,5,2022-05-19 18:50:04
Letus Tarung Anggraha,Mohon tambah kan fitur pembayaran e money link- aja,4,2022-05-18 19:00:37
EdWard,Mantap,5,2022-05-18 16:35:53
Muya Saroh,"Aplikasi semakin bagus, untuk yang bermasalah login bisa di update apk nya",5,2022-05-18 09:42:45
Jaini SSos,Sangat membantu dlm bertransaksi,5,2022-05-17 17:54:07
Mahiang Dehen,Mudah digunakan,5,2022-05-17 17:39:22
Yur Mia,Membantu benar,5,2022-05-17 10:13:19
Cucu nurhayati,👍🏽,5,2022-05-16 11:25:39
Rian Riano,"Kenapa mau login ,,ganguan koneksi dan server eror",2,2022-05-16 11:25:36
Yosep Agus Purwanto,Mantaaap,5,2022-05-15 11:44:43
Acha Fefeichanel,sangat membantu,5,2022-05-15 05:30:27
Oscar Rama,Bagus aja,5,2022-05-15 01:25:45
RUDI AGUS KARYAWANTO,"Terima kasih, aplikasi nya bagus👍 Fitur² nya ditambah ya biar tambah keren👍👍👍",5,2022-05-14 11:26:03
Hepy Kamis,Sangat membantu,5,2022-05-14 05:20:36
Faizal Nurdin,Bank kesukaan anak kalimantan,5,2022-05-13 23:21:15
Yan Dedi Dedi,Cukup membantu,4,2022-05-13 19:45:45
Ivana Monalisa,"Admin..kenapa ketika ingin login ke aplikasi, gangguan koneksi terus😌",4,2022-05-13 15:57:28
Samsugg Samsungg,Mantap,5,2022-05-13 15:28:53
Anggia Murni,Oke banget,5,2022-05-13 13:56:31
Vivin Alsa,Mantap,5,2022-05-13 13:35:19
Irka Muliyanty,"Alhamdulillah.. mudah digunakan, penggunaan aplikasinya juga lancar.. mdh²n bisa trus ditingkatkan.",5,2022-05-13 13:01:38
raizal zal,Suka,5,2022-05-13 11:38:35
Diskominfo Santik,"Sangat membantu, tingkatkan jaringan untuk bisa di akses di semua aplikasi transaksi digital",4,2022-05-13 09:38:33
misbah sadariah,sangat membantu sekali utk transaksi keuangan,5,2022-05-13 09:24:59
Feri Supriadi,Ok,5,2022-05-13 09:12:22
Sumiarso Arso,Sangat membantu dan hemat waktu,5,2022-05-13 08:46:02
Frengky Frengky kurniawan,Aplikasi itu tidak baik,1,2022-05-13 07:25:53
Fotocopy HADI,Sagat membantu,3,2022-05-13 06:56:18
Anggraeni Faot,Sangat membantu,5,2022-05-12 23:28:01
Annisa ika,Mantap,5,2022-05-12 21:57:46
Yurisman Agusogianto,Sangat penting dalam keadaan yang normal,5,2022-05-12 21:42:46
dosiagusprori prori,Sangat bermanfaat,5,2022-05-12 21:38:36
Sabtun Wati,Sangat membantu,5,2022-05-12 20:52:49
Sri Yohana,👍👍🙏🙏,5,2022-05-12 20:08:08
Roni Rswnd,Mungkin untuk pengisian saldo emoney nya bisa di tambah fitur nominalnya bisa di custom,4,2022-05-12 03:14:40
Vetricia Gandrung,Klo login selalu gagal koneksi,3,2022-05-11 18:08:14
surya eljawy,Memudahkan transaksi,5,2022-05-11 09:17:36
Melki m ahad Melki,"Aplikasi ngak bisa di buka,, ganguan koneksi terus,, tolong bantuanya admin..",1,2022-05-10 22:41:59
miranda febriana,ok,4,2022-05-09 05:59:51
Pebriana Yulisa,Naisssss,5,2022-05-08 11:18:05
Dedi Ahmadi,Tambahkan layanan pembayaran pajak ranmor,5,2022-05-08 10:47:11
Nur Aryanti,Hampir tidak ada kendala dlm penggunaan aplikasi. Mantap.,5,2022-05-08 07:33:15
Hairul Ukhuwah,Minta tolong perbanyak SC/Teller nya/admin pelayanannya..masa saya antri dr jam 9 sampai Ashar....masyaallah minta tolong ja ditambah.apa lagi bang Daerah.semua pegawai memakai jasa nya.biar lebih efisien..mnt tolong Banar....biar kita sama2 enak..semangat untuk perbaikan...,2,2022-05-07 19:42:41
Buya 3M,"Alhamdulillah, sangat membantu, mudah, sederhana dan sangat bermanfaat,,,",5,2022-05-07 12:26:15
Satria Kps,Mudah dalam transaksi,5,2022-05-07 08:12:40
Abdi Septiawanoor,Very good,5,2022-05-06 20:09:36
Atehmu,Tingkatkan lebih lagi,4,2022-05-06 19:49:46
Cendewi Cendewi,setiap di klik aplikasinya lgsg keluar sndri. di update ga bisa. apakah koneksi? tp sinyal bagus2 aja padahal mah,1,2022-05-06 16:19:47
Eka Kumala. S,Suka sama aplikasi nya. Respon cepat dan praktis,5,2022-05-06 14:06:00
kusnatul mufidah2020,Lup,5,2022-05-06 13:02:15
kris tian,Sangat bagus,5,2022-05-06 11:55:17
THE SOUL,Mantap,5,2022-05-06 11:36:44
Tasrifah asip,Memudahkan dan mempercepat segala urusan,5,2022-05-06 10:58:01
Ada Ada,Mohon pencerahannya kok tiba-tiba aplikasi nya keluar sendiri terus,1,2022-05-06 08:01:44
Lukmanul Hakim,Gk bisa dibuka. katanya gangguan koneksi padahal koneksi internet lancar.. Semoga cepat diperbaiki,1,2022-05-06 04:14:38
ajho abel,"Kenapa selalu restrart aplikasinya, tidak bisa login, keterangannya ""Gangguan Koneksi""",1,2022-05-06 00:18:16
Fdr 026,"Tgl 5 hari ini aplikasi tidak bisa dibuka sama sekali padahal lagi penting2 nya, keterangannya kalau di klik ""gangguan koneksi"" tolong cepat diperbaiki karena kami jauh dari ATM dan ktr cabangnya",1,2022-05-05 23:30:25
Menabudiman Mena,Sangat baik,1,2022-05-05 23:02:25
supian syah,Koq skrg gk bisa di buka ya ada keterangan gagal koneksi pdhl koneksi internet bagus aja gk ada masalah mohon sgra di benahi dan di perbaiki gk bisa di buka,3,2022-05-05 20:11:49
Yonni Deru,"Gangguan koneksi terus,,,kenapa???",2,2022-05-05 18:43:39
Armiah Azis,"Kenapa pas buka app betang mobile, tetiba tertutup sendiri ya ? Terus ada keterangan gangguan koneksi? Baru hari ini sih",3,2022-05-05 16:39:56
Rizki MFazri,"Kenapa gangguan koneksi, padahal jaringannya bagus",2,2022-05-05 16:07:42
Masrie Natasya,Kenapa ini blang gak fungsi punya saya,3,2022-05-05 11:59:30
Anindya Arum Miranti,Kok tidak tiba2 ga bisa masuk???,4,2022-05-05 10:34:42
Giovanni Gifar,Kenapa gangguan Koneksi ya?,5,2022-05-05 09:12:22
Then Hai Pin,Kenapa admin saat melakukan login ke aplikasi tidak bisa. Dengan keterangan gangguan koneksi. Sudah melakukan updet tapi tetap saja.,1,2022-05-05 08:29:59
Sapini,Mohon bantuan setiap buka aplikasinya gangguan koneksi padahal sinyal kuat.🙏,1,2022-05-05 07:25:23
Rakhmad Sucahyo,Bagus aplikasinya tingkatkan terus dengan metode pembayaran yg lain,5,2022-05-01 15:43:43
Hch Ttyf,"Pengalaman saat di bank Kalteng kecamatan hampir 3 jam saya antri untuk buka accaunt rekening baru dan bukan hanya saya tapi hampir semua seperti itu. Untuk pelayanan sudah baik dan ramah banget. hanya saja kurang efisien antri terlalu lama.seharusnya cepat seperti bank bank lainnya jangan mau kalah biar bank daerah tambah maju.ayo berbenah Nb.(teller hanya satu yang melayani ,pembuatan accaunt cuma satu kedepan ditambah donng)",2,2022-05-01 08:13:31
Sujargo,Pokoknya mantap 👍👍👍,5,2022-04-29 17:22:41
Rey Rian,Hati2 kalau ngisi paket internet di sini status gagal tpi uang nya kepotong 😢,5,2022-04-28 21:58:05
Mukyar,Kenapa setiap mau login ada pemberitahuan diminta register ulang,3,2022-04-27 21:36:50
Yoan Alfriko,Sangat memuaskan...,5,2022-04-27 19:23:19
Seli Dewi Fristi,Ok,5,2022-04-19 20:00:14
Ud. Lock,Error terussssssssssss.........,1,2022-04-18 15:11:31
